,body_type,co2Emissions,condition,doors,engine_size,isTradeSeller,make,manufactured_year,mileage,model,price,seats,transmission,location
1391,Hatchback,97,Used,3.0,1.0,False,Audi,2018.0,12700,A1,14150.0,4.0,Manual,London
1392,Hatchback,117,Used,5.0,1.0,False,Hyundai,2019.0,1100,i10,6275.0,5.0,Manual,London
1393,Saloon,165,Used,4.0,2.0,True,Jaguar,2018.0,34998,XE,16999.0,5.0,Automatic,London
1394,SUV,208,Nearly New,5.0,1.5,True,Ford,2019.0,2465,Kuga,24000.0,5.0,Automatic,London
1395,Hatchback,114,Used,5.0,1.0,True,Ford,2018.0,13449,Focus,16050.0,5.0,Manual,London
1396,Convertible,133,Used,2.0,1.6,False,Mercedes-Benz,2018.0,12455,SLC,15900.0,2.0,Automatic,London
1397,SUV,183,Nearly New,5.0,2.0,True,Jaguar,2020.0,10,F-PACE,43399.0,5.0,Automatic,London
1398,Convertible,185,Used,2.0,2.0,True,Land Rover,2018.0,6498,Range Rover Evoque,39950.0,4.0,Automatic,London
1399,Hatchback,95,Used,5.0,1.0,True,Toyota,2018.0,18439,AYGO,7299.0,4.0,Manual,London
1400,Hatchback,125,Used,5.0,1.0,True,Ford,2018.0,5886,Fiesta,13500.0,5.0,Automatic,London
1401,Convertible,380,Nearly New,2.0,6.6,True,Rolls-Royce,2019.0,2000,Dawn,264950.0,4.0,Automatic,London
1402,Hatchback,119,Used,5.0,1.5,False,MINI,2018.0,8000,Hatch,10500.0,5.0,Automatic,London
1403,SUV,257,Nearly New,5.0,3.0,True,Maserati,2020.0,1810,Levante,54950.0,5.0,Automatic,London
1404,MPV,153,Nearly New,5.0,1.5,True,Volkswagen,2020.0,719,Touran,24000.0,7.0,Automatic,London
1405,Coupe,275,Used,2.0,3.8,True,Nissan,2019.0,1605,GT-R,68995.0,4.0,Automatic,London
1406,Hatchback,102,Used,5.0,1.0,True,Ford,2018.0,31437,Fiesta,11300.0,5.0,Manual,London
1407,Convertible,140,Used,2.0,2.0,False,Audi,2019.0,5200,A5 Cabriolet,27500.0,4.0,Automatic,London
1408,SUV,278,Nearly New,5.0,3.0,True,Maserati,2020.0,1000,Levante,71950.0,5.0,Automatic,London
1410,Hatchback,108,Used,3.0,1.2,False,Fiat,2019.0,4600,500,10500.0,4.0,Automatic,London
1412,SUV,227,Used,5.0,2.9,True,Alfa Romeo,2018.0,9000,Stelvio,52950.0,5.0,Automatic,London
1413,MPV,159,Used,5.0,1.6,True,Kia,2018.0,11074,Venga,10299.0,5.0,Automatic,London
1414,SUV,209,Used,5.0,3.0,False,Jaguar,2018.0,12000,F-PACE,39995.0,5.0,Automatic,London
1415,SUV,139,Used,5.0,1.6,True,Nissan,2019.0,17177,Juke,13199.0,5.0,Automatic,London
1416,Hatchback,108,Used,3.0,1.0,True,Ford,2018.0,8923,Fiesta,11600.0,5.0,Manual,London
1417,Hatchback,126,Used,5.0,1.0,False,Ford,2019.0,6000,Focus,14250.0,5.0,Automatic,London
1418,SUV,257,Nearly New,5.0,2.0,True,Land Rover,2020.0,941,Discovery,49490.0,7.0,Automatic,London
1419,MPV,133,Used,5.0,2.0,True,BMW,2019.0,3733,2 Series Active Tourer,19499.0,5.0,Automatic,London
1420,Hatchback,97,Used,3.0,1.0,True,Ford,2018.0,32562,Fiesta,10100.0,5.0,Manual,London
1421,SUV,278,Nearly New,5.0,3.0,True,Maserati,2020.0,1000,Levante,64950.0,5.0,Automatic,London
1422,Hatchback,108,Used,3.0,1.0,True,Ford,2018.0,8923,Fiesta,11600.0,5.0,Manual,London
1423,Coupe,246,Used,2.0,4.0,True,Bentley,2018.0,12336,Continental,92950.0,4.0,Automatic,London
1424,Hatchback,109,Used,5.0,1.0,False,Volkswagen,2019.0,15000,Golf,14995.0,5.0,Automatic,London
1425,SUV,278,Nearly New,5.0,3.0,True,Maserati,2020.0,1000,Levante,62950.0,5.0,Automatic,London
1426,Hatchback,116,Used,5.0,1.2,True,SEAT,2018.0,14257,Leon,11799.0,5.0,Manual,London
1427,Coupe,357,Nearly New,2.0,6.6,True,Rolls-Royce,2019.0,2731,Wraith,228950.0,4.0,Automatic,London
1428,Coupe,204,Used,2.0,4.7,True,Mercedes-Benz,2018.0,12987,S Class,43999.0,4.0,Automatic,London
1429,SUV,270,Nearly New,5.0,5.0,True,Land Rover,2019.0,2000,Range Rover Velar,85995.0,5.0,Automatic,London
1430,Coupe,299,Used,2.0,5.0,False,Ford,2018.0,14766,Mustang,28500.0,4.0,Manual,London
1431,Saloon,126,Used,4.0,2.0,True,Mercedes-Benz,2018.0,30899,C Class,15299.0,5.0,Automatic,London
1433,SUV,185,Used,5.0,2.0,True,Jaguar,2018.0,9970,F-PACE,38995.0,5.0,Automatic,London
1434,SUV,213,Used,5.0,3.0,True,Land Rover,2019.0,7831,Range Rover Sport,69864.0,5.0,Automatic,London
1435,Hatchback,175,Used,5.0,2.3,False,Ford,2018.0,4000,Focus,19995.0,5.0,Manual,London
1436,SUV,222,Used,5.0,2.0,True,Land Rover,2019.0,7350,Discovery,48499.0,7.0,Automatic,London
1437,Hatchback,107,Used,5.0,1.0,True,Vauxhall,2019.0,18549,Astra,10250.0,5.0,Manual,London
1438,SUV,308,Nearly New,5.0,3.8,True,Maserati,2020.0,4500,Levante,109950.0,5.0,Automatic,London
1439,Hatchback,118,Nearly New,5.0,1.0,True,Toyota,2020.0,500,AYGO,10995.0,4.0,Automatic,London
1440,Hatchback,102,Used,5.0,1.0,True,Ford,2018.0,31437,Fiesta,11300.0,5.0,Manual,London
1442,SUV,157,Used,5.0,1.4,True,Vauxhall,2019.0,885,Mokka X,16799.0,5.0,Automatic,London
1443,Hatchback,130,Nearly New,5.0,1.3,True,Nissan,2020.0,5000,Qashqai,22000.0,5.0,Manual,London
1444,SUV,282,Used,5.0,3.0,True,Maserati,2019.0,7216,Levante,57950.0,5.0,Automatic,London
1445,SUV,229,Used,5.0,2.0,False,Land Rover,2019.0,7200,Range Rover Velar,49890.0,5.0,Automatic,London
1446,Hatchback,113,Used,3.0,1.4,False,Audi,2018.0,19500,A1,14800.0,4.0,Automatic,London
1447,SUV,193,Used,5.0,2.0,False,Land Rover,2018.0,10000,Discovery Sport,27000.0,7.0,Automatic,London
1448,SUV,169,Used,5.0,1.6,True,Mercedes-Benz,2019.0,654,GLA Class,21000.0,5.0,Automatic,London
1449,Hatchback,108,Used,3.0,1.0,True,Ford,2018.0,8923,Fiesta,11600.0,5.0,Manual,London
1450,SUV,172,Used,5.0,2.0,True,Jaguar,2019.0,1907,F-PACE,38995.0,5.0,Automatic,London
1452,Estate,132,Nearly New,5.0,1.0,True,Ford,2019.0,2332,Focus,19700.0,5.0,Automatic,London
1453,Coupe,168,Used,2.0,2.0,False,Porsche,2018.0,8850,718 Cayman,31500.0,2.0,Manual,London
1454,SUV,303,Nearly New,5.0,3.0,True,Maserati,2020.0,1000,Levante,66950.0,5.0,Automatic,London
1455,SUV,180,Used,5.0,2.0,True,Land Rover,2019.0,3717,Range Rover Evoque,43599.0,5.0,Automatic,London
1456,Convertible,122,Nearly New,2.0,1.5,False,MINI,2019.0,1300,Convertible,21000.0,4.0,Automatic,London
1457,Hatchback,128,Nearly New,5.0,1.2,True,Toyota,2020.0,3000,Corolla,19790.0,5.0,Manual,London
1458,Hatchback,107,Used,5.0,1.0,True,Vauxhall,2019.0,18549,Astra,10250.0,5.0,Manual,London
1459,SUV,185,Used,5.0,2.0,True,Jaguar,2019.0,7447,E-PACE,31595.0,5.0,Automatic,London
1460,Convertible,179,Nearly New,2.0,2.0,True,Jaguar,2020.0,150,F-Type,50799.0,2.0,Automatic,London
1461,Coupe,151,Used,5.0,2.0,False,BMW,2018.0,4130,4 Series Gran Coupe,24999.0,5.0,Automatic,London
1462,SUV,132,Used,5.0,1.5,False,BMW,2018.0,9425,X1,17995.0,5.0,Manual,London
1464,Coupe,357,Nearly New,2.0,6.6,True,Rolls-Royce,2019.0,2236,Wraith,245950.0,4.0,Automatic,London
1465,Hatchback,93,Used,5.0,1.0,False,Peugeot,2019.0,987,108,6275.0,4.0,Manual,London
1467,Hatchback,114,Used,5.0,0.9,True,Renault,2019.0,15225,Clio,9700.0,5.0,Manual,London
